KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
Thohoyandou,32.04,33.44,31.08,38.22,38.42,43.38,32.32,51.02,42.67,35.14,32.64,37.25,37.72,39.55,30.63,29.58,31.29,,,,,,,,,,,,,,,,,,
Nelspruit,39.23,39.69,35.09,48.3,48.61,55.8,32.86,65.18,50.92,42.9,65.21,51.15,31.77,53.39,36.73,39.95,48.85,,,,,,,,,,,,,,,,,,
Durban,42.03,34.96,28.61,45.31,45.6,53.5,34.87,63.13,40.22,31.1,52.62,39.8,35.04,44.89,28.55,25.86,38.24,,,,,,,,,,,,,,,,,,
Mthatha,46.9,58.24,48.43,71.42,71.84,80.65,49.72,93.69,63.69,50.97,57.38,67.7,42.63,77.68,46.17,47.54,70.31,,,,,,,,,,,,,,,,,,
George,45.62,42.83,41.81,64.75,65.08,72.41,46.74,81.9,47.12,41.85,48.42,59.46,44.31,66.83,41.99,43.97,52.29,,,,,,,,,,,,,,,,,,
Stellenboch,32.42,44.36,46.02,72.86,73.28,82.59,48.48,92.84,55.2,44,41.74,67.45,40.22,76.86,45.5,46.07,60.43,,,,,,,,,,,,,,,,,,
Cape Point,48.49,47.11,47.76,54.16,54.22,59.14,47.76,53.99,50.72,60.51,46.23,53.18,44.31,57.47,49.34,55.95,64.71,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
Alexandra Bay,0.28,0.41,0.02,-1.23,-1.25,-1.88,0.15,-2.46,-0.37,0.09,0.01,-0.92,0.26,-1.61,0.1,0.07,-0.56,,0.28,0.41,0.02,1.23,1.25,1.88,0.15,2.46,0.37,0.09,0.01,0.92,0.26,1.61,0.1,0.07,0.56
Upington,-0.1,-0.36,-1.18,-1.9,-1.91,-2.73,0.01,-2.01,-1.44,-2.38,-0.74,-3.45,0.04,-2.44,-1.53,-2.62,-1.39,,0.1,0.36,1.18,1.9,1.91,2.73,0.01,2.01,1.44,2.38,0.74,3.45,0.04,2.44,1.53,2.62,1.39
De Aar,0.15,0.15,-0.12,-1.14,-1.16,-1.62,-0.03,-1.2,-0.48,-0.71,0.14,-1.08,-0.08,-1.15,-0.29,-0.68,-0.36,,0.15,0.15,0.12,1.14,1.16,1.62,0.03,1.2,0.48,0.71,0.14,1.08,0.08,1.15,0.29,0.68,0.36
Bethlehem,-0.09,0.12,0.12,-0.32,-0.32,-0.56,0.06,-0.75,-0.13,-0.08,-0.15,-0.34,0.04,-0.42,0.08,-0.02,-0.18,,0.09,0.12,0.12,0.32,0.32,0.56,0.06,0.75,0.13,0.08,0.15,0.34,0.04,0.42,0.08,0.02,0.18
Mahikeng,0.09,-0.07,-0.03,-0.33,-0.34,-0.7,0.29,-0.72,-0.72,-0.46,-0.46,-0.87,0.26,-0.61,-0.15,-0.46,-0.25,,0.09,0.07,0.03,0.33,0.34,0.7,0.29,0.72,0.72,0.46,0.46,0.87,0.26,0.61,0.15,0.46,0.25
