DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Mthata,247.08,221.2,268.47,204.91,204.91,202.2,248.48,225.72,249.46,214.81,242.25,219.61,279.62,211.6,213.76,222.6,221.24,,0,,0,,0,,1,,,,,,,,,,
George,706.11,933.76,1043.17,846.42,839.41,1211.58,1650.8,1447.62,1142.31,704.04,719.92,500.42,1471.61,513.71,784.71,449.46,471.24,,0,,0,,0,,0,,,,,,,,,,
Stellenboch,735.21,705.29,765.54,569.79,566.67,725.36,977.16,862.7,776.34,526.71,565.91,472.29,833.21,464.71,586.06,433.98,438.55,,0,,0,,0,,0,,,,,,,,,,
Cape Point,111.47,107.98,105.74,112.18,112.25,103.5,130.09,117.73,132.1,126.3,127.03,131.36,130.44,130.36,112.63,132.18,127,,1,,0,,1,,-1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National,,,,,,,,,,
Alexandra Bay,0.02,-0.99,-1.1,-0.47,-0.45,-1.28,-2.92,-2.12,-1.32,-0.13,-0.41,0.15,-1.41,0.12,-0.34,0.22,0.15,,-0.01,,-0.01,,0,,0,,,,,,,,,,
Upington,-0.8,0.01,-0.11,-0.18,-0.17,-0.82,-2.09,-1.46,-0.63,-0.05,-0.13,0.14,-2.11,0.14,0.03,0.2,0.15,,-0.03,,-0.02,,-0.01,,0.02,,,,,,,,,,
De Aar,-2.75,-2.75,-0.89,-0.61,-0.6,-1.46,-3.54,-2.55,-1.4,-0.28,-0.48,0.1,-3.06,0.1,-0.26,0.19,0.18,,0,,-0.01,,0,,-0.03,,,,,,,,,,
Bethlehem,-0.93,-3.12,-0.49,-0.6,-0.58,-1.88,-4.1,-2.98,-1.42,-0.17,-0.21,0.24,-4.23,0.21,-0.08,0.24,0.2,,-0.02,,0.01,,-0.03,,0.01,,,,,,,,,,
Mahikeng,-1.98,-1.86,-0.95,-1.12,-1.09,-2.63,-5.68,-4.21,-2.13,-0.63,-0.82,0.06,-8.59,0.02,-0.42,0.16,-0.14,,-0.02,,-0.01,,-0.01,,0,,,,,,,,,,
Irene,-0.02,-0.08,0.12,0.28,0.28,0.3,0.11,0.22,0.29,0.34,0.2,0.28,-0.66,0.28,0.32,0.24,0.24,,0,,0,,0,,-0.09,,,,,,,,,,
Pretoria,-0.71,-1.86,-0.9,-0.2,-0.19,-0.86,-2.47,-1.68,-0.61,0.02,-0.16,0.2,-4.12,0.24,-0.08,0.24,0.22,,0.01,,0,,0,,-0.02,,,,,,,,,,
Thohoyandou,-0.05,-0.22,-0.2,-0.1,-0.1,-0.49,-1.14,-0.8,-0.22,0.05,0.02,0.2,-2.04,0.19,0.04,0.24,0.08,,0,,0,,0,,0.01,,,,,,,,,,
Nelspruit,-3,-2.47,-2.82,-2.58,-2.53,-5.96,-11.7,-8.86,-5.11,-1.96,-1.84,-0.21,-20.05,-0.35,-1.59,-0.04,-0.15,,0,,0,,0,,0,,,,,,,,,,
Durban,-0.22,-0.32,-1.26,-0.09,-0.08,-0.84,-2.37,-1.59,-0.74,-0.04,-0.9,0.2,-2.03,0.21,-0.3,0.23,0.23,,-0.02,,-0.01,,-0.01,,0,,,,,,,,,,
Mthatha,-0.01,0.19,-0.2,0.3,0.3,0.32,-0.03,0.15,-0.03,0.23,0.02,0.2,-0.3,0.26,0.24,0.18,0.19,,0,,0.01,,-0.01,,-0.01,,,,,,,,,,
George,-1.34,-3.09,-4.11,-2.36,-2.31,-5.89,-11.79,-8.83,-5.12,-1.33,-1.43,-0.18,-9.16,-0.24,-1.89,0.05,-0.04,,0,,0,,0,,0,,,,,,,,,,
Stellenboch,-1.48,-1.28,-1.69,-0.49,-0.47,-1.42,-3.38,-2.42,-1.77,-0.27,-0.47,-0.02,-2.19,0.01,-0.58,0.14,0.12,,0,,0,,0,,0,,,,,,,,,,
Cape Point,0.08,0.14,0.17,0.07,0.07,0.21,-0.25,-0.02,-0.29,-0.18,-0.19,-0.28,-0.26,-0.26,0.06,-0.29,-0.19,,-0.01,,0,,-0.01,,0.01,,,,,,,,,,
